,CLASS,PACKAGE,KILLED,,MEMORY_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
251,FieldStepNormalizer,org.apache.commons.math3.ode.sampling,0,0,28,0,0,28,0
252,FieldVector3D,org.apache.commons.math3.geometry.euclidean.threed,136,0,0,29,0,165,82.42424242
253,FilterType,org.apache.commons.math3.ode.events,75,0,0,21,0,96,78.125
254,FiniteDifferencesDifferentiator,org.apache.commons.math3.analysis.differentiation,82,0,0,7,0,89,92.13483146
255,FirstMoment,org.apache.commons.math3.stat.descriptive.moment,9,0,1,3,0,13,69.23076923
256,FirstOrderConverter,org.apache.commons.math3.ode,7,0,0,0,0,7,100
257,FixedElapsedTime,org.apache.commons.math3.genetics,5,0,0,3,1,9,66.66666667
258,FixedGenerationCount,org.apache.commons.math3.genetics,5,0,1,1,1,8,75
259,Floor,org.apache.commons.math3.analysis.function,0,0,0,1,0,1,0
260,FourthMoment,org.apache.commons.math3.stat.descriptive.moment,24,0,1,2,0,27,88.88888889
261,Fraction,org.apache.commons.math3.fraction,121,0,2,19,1,143,85.31468531
262,FractionField,org.apache.commons.math3.fraction,5,0,0,0,0,5,100
263,FractionFormat,org.apache.commons.math3.fraction,18,0,5,5,0,28,64.28571429
264,Frequency,org.apache.commons.math3.stat,71,0,10,5,0,86,82.55813953
265,FunctionUtils,org.apache.commons.math3.analysis,133,0,60,3,0,196,67.85714286
266,FuzzyKMeansClusterer,org.apache.commons.math3.ml.clustering,48,0,14,12,11,85,69.41176471
267,GLSMultipleLinearRegression,org.apache.commons.math3.stat.regression,8,0,3,1,0,12,66.66666667
268,GTest,org.apache.commons.math3.stat.inference,94,0,0,10,0,104,90.38461538
269,Gamma,org.apache.commons.math3.special,275,0,3,42,4,324,86.11111111
270,GammaDistribution,org.apache.commons.math3.distribution,100,0,14,33,2,149,68.45637584
271,GaussIntegrator,org.apache.commons.math3.analysis.integration.gauss,12,0,0,0,0,12,100
272,GaussIntegratorFactory,org.apache.commons.math3.analysis.integration.gauss,15,0,0,0,0,15,100
273,GaussNewtonOptimizer,org.apache.commons.math3.fitting.leastsquares,32,0,3,2,2,39,87.17948718
274,GaussNewtonOptimizer,org.apache.commons.math3.optim.nonlinear.vector.jacobian,36,0,0,0,0,36,100
275,GaussNewtonOptimizer,org.apache.commons.math3.optimization.general,32,0,0,0,0,32,100
276,Gaussian,org.apache.commons.math3.analysis.function,66,0,1,4,0,71,92.95774648
277,GaussianCurveFitter,org.apache.commons.math3.fitting,57,0,19,18,0,94,60.63829787
278,GaussianFitter,org.apache.commons.math3.fitting,53,0,19,18,0,90,58.88888889
